"アルバム名","曲名","URL","ディスク番号","曲番号","人気度","長さ","テンポ","拍子","キー","モード","アコースティック度","ダンス性","エネルギッシュさ","インスト度","ライブ感","音圧のデシベル値の平均","話し声度","ポジティブ度"
"幻想水滸伝II ORIGINAL GAME SOUNDTRACK Vol.1","第3章「旅の一座との出会い」 ~平和山村人暮鳥声(リューベBGM)","https://open.spotify.com/track/7srDJVcHwtZxJaADHRbHWc","1","13","3","143293","135.256","4","2","0","0.974","0.53","0.216","0.859","0.0728","-8.649","0.0308","0.662"
"幻想水滸伝II ORIGINAL GAME SOUNDTRACK Vol.1","第3章「旅の一座との出会い」 ~大道芸(イベント「ジプシーたち」より)","https://open.spotify.com/track/1Zqyzg4LwXVh2dXrgKL4Jv","1","14","3","183133","110.582","4","2","1","0.0042","0.649","0.654","0.132","0.109","-7.507","0.0421","0.664"
"幻想水滸伝II ORIGINAL GAME SOUNDTRACK Vol.1","第3章「旅の一座との出会い」 ~冒険の旅(ワールドマップBGM1)","https://open.spotify.com/track/3aflCtKcWfry52H5bqmPLe","1","15","4","160933","155.54","5","3","1","0.789","0.601","0.327","0.589","0.237","-10.711","0.0366","0.824"
"幻想水滸伝II ORIGINAL GAME SOUNDTRACK Vol.1","第3章「旅の一座との出会い」 ~迷宮~PENPE2(ダンジョンBGM)","https://open.spotify.com/track/0S1aH2MpgPit1QLYu1GDKo","1","16","3","232173","172.627","3","5","1","0.79","0.331","0.38","0.86","0.105","-17.199","0.0386","0.065"
"幻想水滸伝II ORIGINAL GAME SOUNDTRACK Vol.1","第3章「旅の一座との出会い」 ~強敵出現(中ボスBGM)","https://open.spotify.com/track/7HhhimzHfrya25MLrQ7C0j","1","17","4","134560","164.624","1","1","1","0.861","0.8","0.888","0.847","0.352","-11.482","0.0678","0.574"
"幻想水滸伝II ORIGINAL GAME SOUNDTRACK Vol.1","第4章「故郷へ」 ~郷愁(キャロBGM)","https://open.spotify.com/track/47E6ITmPp5GiZJojHmvqvm","1","18","4","192667","139.762","3","4","1","0.862","0.577","0.258","0.733","0.134","-10.604","0.0328","0.398"
"幻想水滸伝II ORIGINAL GAME SOUNDTRACK Vol.1","第4章「故郷へ」 ~Beautiful Morning(朝BGM)","https://open.spotify.com/track/4grsnJOMVwrrcbKUACuLWs","1","19","4","178640","72.874","4","2","1","0.857","0.283","0.325","0.977","0.13","-9.931","0.0301","0.29"
"幻想水滸伝II ORIGINAL GAME SOUNDTRACK Vol.1","第4章「故郷へ」 ~王者の行進(イベント「刑場へ」より)","https://open.spotify.com/track/1XEnJOxj3JJcSY8PreODkB","1","20","2","193360","96.792","4","1","1","0.115","0.574","0.738","0.836","0.12","-11.039","0.0434","0.278"
"幻想水滸伝II ORIGINAL GAME SOUNDTRACK Vol.1","第4章「故郷へ」 ~救出(イベント「フリックたちの登場」より)","https://open.spotify.com/track/6DPtgSyhZbVd8GRuE6vtLS","1","21","3","138173","146.259","4","1","1","0.369","0.551","0.745","0.911","0.61","-6.373","0.0329","0.761"
"幻想水滸伝II ORIGINAL GAME SOUNDTRACK Vol.1","第4章「故郷へ」 ~回想~ストリングスバージョン~(イベント「別れ」より)","https://open.spotify.com/track/7y8Hna1yjLtUZMySFvckef","1","22","5","154560","79.289","3","5","0","0.482","0.0745","0.34","0.914","0.0791","-8.834","0.0367","0.0384"
"幻想水滸伝II ORIGINAL GAME SOUNDTRACK Vol.1","第5章「狂皇子ルカ ブライト」 ~子供たちは野に遊び(トトBGM)","https://open.spotify.com/track/7tvuA2rumNDU6lo36en2wR","1","23","3","217640","126.376","4","2","0","0.806","0.589","0.403","0.0116","0.177","-7.143","0.0362","0.0997"
"幻想水滸伝II ORIGINAL GAME SOUNDTRACK Vol.1","第5章「狂皇子ルカ ブライト」 ~虐殺(イベント「リューベの村襲撃」より)","https://open.spotify.com/track/5sfVqfiCADKUlwn5iBrm5K","1","24","0","17093","58.794","4","6","1","0.023","0.364","0.597","0.947","0.343","-19.449","0.117","0.483"
"幻想水滸伝II ORIGINAL GAME SOUNDTRACK Vol.1","第5章「狂皇子ルカ ブライト」 ~緊迫(イベント「ルカの凶行」より)","https://open.spotify.com/track/6nYoki6uMJTHoRunKKp8On","1","25","3","104200","219.642","3","11","1","0.798","0.686","0.651","0.907","0.086","-9.365","0.0827","0.683"
"幻想水滸伝II ORIGINAL GAME SOUNDTRACK Vol.1","第5章「狂皇子ルカ ブライト」 ~戦争(戦争BGM)","https://open.spotify.com/track/5YP3cW1HkfnxsMwVAfimkm","1","26","3","51333","143.356","4","2","0","0.174","0.201","0.527","2.41e-06","0.356","-8.901","0.0356","0.302"
"幻想水滸伝II ORIGINAL GAME SOUNDTRACK Vol.1","第5章「狂皇子ルカ ブライト」 ~崩壊(イベント「燃える砦」より)","https://open.spotify.com/track/69ka4kpEZdKSwt4crTeKhU","1","27","0","18600","109.648","1","10","0","0.00825","0.321","0.367","0.982","0.202","-26.127","0.112","0.271"
"幻想水滸伝II ORIGINAL GAME SOUNDTRACK Vol.1","第6章「少年たちの儀式」 ~彼方の星(レックナートのテーマ)","https://open.spotify.com/track/6Wb0RG7Er1D3m7QaTPFZXg","1","28","3","131133","72.056","4","2","1","0.907","0.123","0.43","0.849","0.625","-9.221","0.0323","0.0396"
"幻想水滸伝II ORIGINAL GAME SOUNDTRACK Vol.1","第6章「少年たちの儀式」 ~過ぎた日々(イベント「少年たちの儀式」より)","https://open.spotify.com/track/6koGlnnjIQvvORsqPok0UO","1","29","3","293400","76.302","3","9","1","0.971","0.227","0.108","0.953","0.109","-13.647","0.0368","0.25"
"幻想水滸伝II ORIGINAL GAME SOUNDTRACK Vol.1","第7章「ミューズへ」 ~静けさの中に(白鹿亭BGM)","https://open.spotify.com/track/50Mixk2ScE8fRv4E3TY2Aa","2","1","3","188933","130.886","4","2","1","0.607","0.694","0.298","0.000383","0.146","-8.41","0.0371","0.558"
"幻想水滸伝II ORIGINAL GAME SOUNDTRACK Vol.1","第7章「ミューズへ」 ~あの丘に登ろう(ミューズBGM)","https://open.spotify.com/track/7GPAtp3ubVjcr0Fc6IGERe","2","2","3","231467","101.352","4","0","1","0.315","0.831","0.415","0.947","0.0928","-7.244","0.0431","0.119"
"幻想水滸伝II ORIGINAL GAME SOUNDTRACK Vol.1","第7章「ミューズへ」 ~静かなお部屋(議事場BGM)","https://open.spotify.com/track/2oswrZtJoQmZZnJ9xS0qFg","2","3","2","110493","92.492","4","10","1","0.239","0.81","0.339","0.909","0.137","-9.565","0.0586","0.805"
"幻想水滸伝II ORIGINAL GAME SOUNDTRACK Vol.1","第7章「ミューズへ」 ~ナルシーのテーマふたたび(ヴァンサン、シモーヌのテーマ)","https://open.spotify.com/track/0KvjTPx9hVS1gjdvRwwpjX","2","4","2","201707","153.117","3","6","1","0.554","0.451","0.351","0.878","0.274","-9.362","0.0314","0.38"
"幻想水滸伝II ORIGINAL GAME SOUNDTRACK Vol.1","第7章「ミューズへ」 ~月夜のテーマ(イベント「牢の中で」より)","https://open.spotify.com/track/6ZcnBtG8euX05xsHpcLS2o","2","5","4","272093","135.654","4","10","1","0.78","0.189","0.238","0.954","0.0934","-11.065","0.031","0.0732"
"幻想水滸伝II ORIGINAL GAME SOUNDTRACK Vol.1","第7章「ミューズへ」 ~偵察の任務(イベント「偵察」より)","https://open.spotify.com/track/6m3iPzNik0TuMjvIPdCg0K","2","6","2","169800","92.576","4","11","1","0.127","0.486","0.55","0.877","0.11","-14.214","0.0482","0.0358"
"幻想水滸伝II ORIGINAL GAME SOUNDTRACK Vol.1","第7章「ミューズへ」 ~同盟軍よ永遠に(イベント「丘上会議」より)","https://open.spotify.com/track/0Txw0okj375c0b2dDvPHz1","2","7","2","93333","198.342","4","7","0","0.141","0.501","0.881","0.932","0.551","-6.982","0.0481","0.755"
"幻想水滸伝II ORIGINAL GAME SOUNDTRACK Vol.1","第8章「サウスウィンドウへ」 ~耳を澄ませば(コロネBGM他)","https://open.spotify.com/track/2DInl5B5kXcGWBGduEWVni","2","8","2","181373","78.232","5","10","1","0.595","0.12","0.236","0.867","0.119","-7.662","0.0344","0.0786"
"幻想水滸伝II ORIGINAL GAME SOUNDTRACK Vol.1","第8章「サウスウィンドウへ」 ~ああ、麗しの踊り子(クスクスBGM)","https://open.spotify.com/track/17yGJ6JdtXZ11zR4MoRZKh","2","9","2","150867","117.308","4","6","1","0.249","0.87","0.597","0.795","0.143","-8.108","0.0581","0.847"
"幻想水滸伝II ORIGINAL GAME SOUNDTRACK Vol.1","第8章「サウスウィンドウへ」 ~ナハーラ・ヤン・クン(サウスウインドウBGM)","https://open.spotify.com/track/7noQDf9EqFhKzHYpEQKbEX","2","10","3","211733","126.299","4","9","1","0.0126","0.98","0.484","0.926","0.0798","-8.371","0.053","0.973"
"幻想水滸伝II ORIGINAL GAME SOUNDTRACK Vol.1","第8章「サウスウィンドウへ」 ~パッサカリア合唱付き(イベント「ノースウィンドウへ」より)","https://open.spotify.com/track/2Vi4iGPLnCfMrFfyf7W4tM","2","11","0","27667","112.37","3","0","0","0.557","0.168","0.227","0.649","0.25","-7.693","0.0445","0.142"
"幻想水滸伝II ORIGINAL GAME SOUNDTRACK Vol.1","第8章「サウスウィンドウへ」 ~フーガ「我があるじを讃えよ」(ノースウィンドウの城BGM)","https://open.spotify.com/track/2WUaHyN21G1tX9cEpVFEMc","2","12","3","165693","81.226","4","7","0","0.0681","0.128","0.461","0.0182","0.203","-7.801","0.0342","0.34"
"幻想水滸伝II ORIGINAL GAME SOUNDTRACK Vol.1","第9章「シュウ」 ~彼女のため息(ラダトBGM)","https://open.spotify.com/track/5yOf2WMgLmakpzzpmg7f7J","2","13","3","168067","74.275","4","7","0","0.9","0.218","0.267","0.942","0.16","-11.043","0.0341","0.086"
"幻想水滸伝II ORIGINAL GAME SOUNDTRACK Vol.1","第9章「シュウ」 ~Dandy Richmond(リッチモンドのテーマ)","https://open.spotify.com/track/3qaysmOwviasiBO8Bjyb27","2","14","2","153373","112.734","4","3","1","0.469","0.727","0.288","0.551","0.577","-11.088","0.0335","0.277"
"幻想水滸伝II ORIGINAL GAME SOUNDTRACK Vol.1","第9章「シュウ」 ~なごみBGM1(イベント「水門」より)","https://open.spotify.com/track/0HNJHU5JBZfSnAwuHTcthY","2","15","2","224800","139.835","4","5","1","0.923","0.309","0.189","0.924","0.108","-10.066","0.0346","0.176"
"幻想水滸伝II ORIGINAL GAME SOUNDTRACK Vol.1","第9章「シュウ」 ~作戦(状況説明BGM)","https://open.spotify.com/track/43VjI28gVy5jSZMTRyL7n1","2","16","2","176160","99.215","4","5","1","0.656","0.675","0.384","0.842","0.0407","-10.009","0.0257","0.417"
"幻想水滸伝II ORIGINAL GAME SOUNDTRACK Vol.1","第9章「シュウ」 ~なごみの時間(本拠地BGM1)","https://open.spotify.com/track/3mN3enfcPJwPA1SfqCTVAh","2","17","3","218333","94.796","3","2","1","0.893","0.615","0.368","0.91","0.119","-8.497","0.0295","0.52"
"幻想水滸伝II ORIGINAL GAME SOUNDTRACK Vol.1","第9章「シュウ」 ~昔話(イベント「ゲンカクじいさんの過去」より)","https://open.spotify.com/track/2MmaGw1ORjg98AosOryNBI","2","18","7","238200","63.66","3","11","0","0.771","0.109","0.163","0.933","0.109","-13.819","0.0384","0.0477"
