"id","アルバム名","曲名","URL","ディスク番号","曲番号","人気度","長さ","テンポ","拍子","キー","モード","アコースティック度","ダンス性","エネルギッシュさ","インスト度","ライブ感","音圧のデシベル値の平均","話し声度","ポジティブ度"
"11","幻想水滸伝ティアクライス ORIGINAL SOUNDTRACK","ひとつの道の都 ～サイナスBGM1～","https://open.spotify.com/track/75cHxLijoKA0CD1aw2MpJy","1","11","0","84573","169.065","4","5","0","0.653","0.204","0.388","0.608","0.0903","-5.178","0.0319","0.558"
"12","幻想水滸伝ティアクライス ORIGINAL SOUNDTRACK","都にそびえ立つ塔 ～しるべの塔BGM～","https://open.spotify.com/track/638vt81IHmREoFEQR8iq58","1","12","0","118613","106.373","4","0","1","0.953","0.186","0.227","0.000181","0.308","-14.077","0.0344","0.0452"
"13","幻想水滸伝ティアクライス ORIGINAL SOUNDTRACK","出撃の烽火 ～部隊編成BGM～","https://open.spotify.com/track/45WRxZ1MLsnjFpYGx2SKht","1","13","2","239640","149.507","4","4","0","0.526","0.333","0.561","0.587","0.405","-7.214","0.03","0.403"
"14","幻想水滸伝ティアクライス ORIGINAL SOUNDTRACK","剣の誇りにかけて ～冥夜の剣士のテーマ～","https://open.spotify.com/track/7wywTwRHwDglc26JoxKhxr","1","14","0","177160","184.57","3","4","0","0.434","0.253","0.486","0.931","0.395","-6.895","0.0324","0.432"
"15","幻想水滸伝ティアクライス ORIGINAL SOUNDTRACK","宿星の集う砦 ～本拠地BGM1～","https://open.spotify.com/track/3i5trEirrFcAzKRiBOFnem","1","15","1","181987","160.052","3","2","1","0.0317","0.457","0.534","0.853","0.0744","-9.028","0.0303","0.856"
"16","幻想水滸伝ティアクライス ORIGINAL SOUNDTRACK","百万世界へのトビラ ～回廊のテーマ～","https://open.spotify.com/track/4JsbxVuijwE7ZlqvcG9dAV","1","16","0","163400","99.977","3","10","0","0.384","0.473","0.439","0.637","0.121","-10.123","0.0316","0.162"
"17","幻想水滸伝ティアクライス ORIGINAL SOUNDTRACK","流水の導き ～ミスラト川BGM～","https://open.spotify.com/track/5hqCAc6RYnehh1zDh2w1sr","1","17","0","201573","108.037","3","0","0","0.849","0.569","0.553","0.989","0.146","-7.61","0.03","0.275"
"18","幻想水滸伝ティアクライス ORIGINAL SOUNDTRACK","ジャナム魔道帝国 ～帝都エル・カーラルBGM～","https://open.spotify.com/track/1FdeWg49KSoQSLBCEThXSu","1","18","0","242733","97.99","4","2","0","0.304","0.603","0.723","0.608","0.352","-4.785","0.0255","0.806"
"19","幻想水滸伝ティアクライス ORIGINAL SOUNDTRACK","皇族の思惑 ～ジャナム皇族のテーマ～","https://open.spotify.com/track/1q9ImmR9Db9uqjLyNK5QAc","1","19","0","189373","150.004","4","9","1","0.118","0.431","0.739","0.201","0.226","-6.4","0.0284","0.47"
"20","幻想水滸伝ティアクライス ORIGINAL SOUNDTRACK","魔道のお姫様 ～マナリルのテーマ～","https://open.spotify.com/track/06C7kHxRMRSsi6bmGj2FBz","1","20","0","198347","99.984","3","2","1","0.904","0.427","0.382","0.937","0.208","-7.776","0.028","0.16"
"21","幻想水滸伝ティアクライス ORIGINAL SOUNDTRACK","南海の玄関口 ～サルサビルBGM～","https://open.spotify.com/track/4BQKcuFohsIK0T0NiFwcjU","1","21","1","169293","102.885","4","2","1","0.111","0.455","0.635","0.00925","0.218","-4.247","0.0291","0.774"
"22","幻想水滸伝ティアクライス ORIGINAL SOUNDTRACK","山間の村 ～テハの村BGM～","https://open.spotify.com/track/2M0I7zVa9QTNIpXvyT9UIx","1","22","0","213493","180.011","4","7","1","0.347","0.519","0.45","0.254","0.298","-5.227","0.029","0.387"
"23","幻想水滸伝ティアクライス ORIGINAL SOUNDTRACK","雪の山へ ～チオルイ山BGM～","https://open.spotify.com/track/79uhjprfuirvu2riY8kfEO","1","23","0","230440","119.898","4","0","1","0.335","0.607","0.876","0.816","0.205","-4.166","0.038","0.44"
"24","幻想水滸伝ティアクライス ORIGINAL SOUNDTRACK","ポーパスの里 ～ナイネニスBGM～","https://open.spotify.com/track/5FdupRTkmZoG0k8GuT0q1e","1","24","1","195173","134.802","3","5","1","0.792","0.194","0.339","0.892","0.527","-6.471","0.0303","0.186"
"25","幻想水滸伝ティアクライス ORIGINAL SOUNDTRACK","海洋の民 ～ポーパス族のテーマ～","https://open.spotify.com/track/4xA55FN0k1yr5NHSCBtnxX","1","25","0","180413","131.959","4","8","1","0.202","0.6","0.946","0.524","0.291","-5.517","0.0316","0.963"
"26","幻想水滸伝ティアクライス ORIGINAL SOUNDTRACK","大平原出現 ～ワールドマップBGM2～","https://open.spotify.com/track/6ehD01fGdQBZ4rUbMhwszH","2","1","0","184560","109.934","4","9","0","0.15","0.492","0.614","0.198","0.2","-7.004","0.0477","0.488"
"27","幻想水滸伝ティアクライス ORIGINAL SOUNDTRACK","輝ける遺志の城 ～本拠地BGM2～","https://open.spotify.com/track/01GeCBbcFo85u1Q6cI48AS","2","2","0","198227","101.229","3","7","1","0.0337","0.508","0.581","0.954","0.104","-5.839","0.0322","0.081"
"28","幻想水滸伝ティアクライス ORIGINAL SOUNDTRACK","星を見守る者 ～ゼノアのテーマ～","https://open.spotify.com/track/3DBBOUHmNwBP7FkzR79KM8","2","3","0","194800","179.912","4","2","0","0.763","0.427","0.265","0.129","0.29","-8.782","0.0288","0.327"
"29","幻想水滸伝ティアクライス ORIGINAL SOUNDTRACK","折重なる谷あい ～ギネの谷BGM～","https://open.spotify.com/track/02yR0F57h6bdx71ByoLdhm","2","4","0","121973","95.95","4","9","0","0.725","0.57","0.722","0.928","0.0662","-8.505","0.0304","0.771"
"30","幻想水滸伝ティアクライス ORIGINAL SOUNDTRACK","誇り高き獣神の村 ～クラグバークBGM～","https://open.spotify.com/track/7mNgHCSlhEbagb332RfYD5","2","5","0","194933","119.928","4","7","1","0.605","0.632","0.688","0.634","0.12","-8.913","0.0414","0.753"
"31","幻想水滸伝ティアクライス ORIGINAL SOUNDTRACK","大平原の戦士 ～フューリーロア族のテーマ～","https://open.spotify.com/track/6eQKJJEwsjcjmqyi8JUePi","2","6","0","165453","99.953","4","11","1","0.00362","0.506","0.902","0.942","0.257","-6.842","0.0409","0.936"
"32","幻想水滸伝ティアクライス ORIGINAL SOUNDTRACK","埋没した帝都 ～エル・カーラル跡地BGM～","https://open.spotify.com/track/54zPmyzvB0lyuhlx85Cwje","2","7","0","173400","80.008","4","1","0","0.681","0.424","0.401","0.0162","0.123","-10.392","0.0299","0.382"
"33","幻想水滸伝ティアクライス ORIGINAL SOUNDTRACK","砂漠のはての都 ～サルサビルBGM2～","https://open.spotify.com/track/4KlECdk7rbULCV9SZksM2S","2","8","0","204160","78.917","3","0","1","0.411","0.254","0.411","0.939","0.0835","-12.699","0.0321","0.0392"
"34","幻想水滸伝ティアクライス ORIGINAL SOUNDTRACK","北方の丘陵 ～ヴェアルの荒野BGM～","https://open.spotify.com/track/2UDzHp7NIopA0OImEWxOPO","2","9","0","160027","93.938","3","2","1","0.118","0.421","0.535","0.326","0.337","-9.356","0.0284","0.363"
"35","幻想水滸伝ティアクライス ORIGINAL SOUNDTRACK","ファラモンの城 ～ファラモン城BGM～","https://open.spotify.com/track/0DRFxwToLY6c6MYdBm3FOB","2","10","0","203187","98.623","3","2","1","0.479","0.242","0.398","0.917","0.284","-9.046","0.0282","0.166"
"36","幻想水滸伝ティアクライス ORIGINAL SOUNDTRACK","ファラモンの民 ～ファラモンの街BGM～","https://open.spotify.com/track/38ZRFfcZGknLepbUlKT93S","2","11","0","160720","58.988","4","2","1","0.724","0.29","0.383","0.439","0.139","-8.968","0.0317","0.155"
"37","幻想水滸伝ティアクライス ORIGINAL SOUNDTRACK","百万世界の狭間 ～異空間BGM～","https://open.spotify.com/track/23H6YeqV30grKwvP1UOLlg","2","12","0","150027","129.118","3","7","0","0.861","0.284","0.259","0.901","0.13","-10.758","0.03","0.0316"
"38","幻想水滸伝ティアクライス ORIGINAL SOUNDTRACK","樹海の集落 ～スクライブの里BGM～","https://open.spotify.com/track/3FNcxJ39bU7wySNlcsj8V7","2","13","1","200067","72.864","3","2","1","0.968","0.21","0.253","0.0155","0.14","-11.088","0.0345","0.0951"
"39","幻想水滸伝ティアクライス ORIGINAL SOUNDTRACK","樹海の民 ～スクライブ族のテーマ～","https://open.spotify.com/track/0I7hjB3gBa2uscvg12SLtO","2","14","0","198400","155.837","4","5","1","0.792","0.48","0.406","0.705","0.111","-9.489","0.0283","0.5"
"40","幻想水滸伝ティアクライス ORIGINAL SOUNDTRACK","灼熱の岩山 ～スヴァトゴル山BGM～","https://open.spotify.com/track/0hcSjjaKfx5o5x5aWPtgur","2","15","0","154853","130.033","4","10","1","0.183","0.551","0.896","0.946","0.43","-8.576","0.0331","0.796"
"41","幻想水滸伝ティアクライス ORIGINAL SOUNDTRACK","巨人族の村 ～ルギエニクBGM～","https://open.spotify.com/track/5ag4jsZge1MNAtowkLtRNR","2","16","0","200000","113.971","4","7","1","0.0172","0.528","0.509","0.888","0.279","-9.383","0.0293","0.625"
"42","幻想水滸伝ティアクライス ORIGINAL SOUNDTRACK","哀しみの果てに ～哀しみのテーマ～","https://open.spotify.com/track/1zP1PijoMVDEvkHvwrzNM3","2","17","0","109053","130.898","4","4","0","0.492","0.163","0.266","0.913","0.125","-11.584","0.04","0.0557"
"43","幻想水滸伝ティアクライス ORIGINAL SOUNDTRACK","失われた文明の出現 ～ワールドマップBGM3～","https://open.spotify.com/track/4mzU3kHjATko3rIZVmKjtM","2","18","0","208773","103.968","4","9","0","0.295","0.439","0.847","0.863","0.548","-6.372","0.0528","0.236"
"44","幻想水滸伝ティアクライス ORIGINAL SOUNDTRACK","謎の遺跡 ～遺跡ダンジョンBGM～","https://open.spotify.com/track/2cgke1gRYVi4uYIL4Jzf8y","2","19","0","214573","115.982","3","9","0","0.587","0.524","0.592","0.919","0.354","-10.995","0.0312","0.494"
"45","幻想水滸伝ティアクライス ORIGINAL SOUNDTRACK","第12の意味するもの ～ワールドマップBGM4～","https://open.spotify.com/track/2P9QrGOaN96dM3uYG6VvQ8","2","20","0","198227","66.661","4","0","0","0.191","0.289","0.604","0.937","0.774","-7.492","0.0334","0.566"
"46","幻想水滸伝ティアクライス ORIGINAL SOUNDTRACK","ひとつの道の成就へ ～サイナスBGM2～","https://open.spotify.com/track/3AdxDAQx8LzA94O3DYbaXc","2","21","0","139853","154.007","3","2","0","0.697","0.135","0.348","0.616","0.0848","-6.891","0.0313","0.138"
"47","幻想水滸伝ティアクライス ORIGINAL SOUNDTRACK","ティアクライス ～希望のトビラ～","https://open.spotify.com/track/3EHFiG0okVIRQEPKyP9oAj","2","22","1","233747","86.065","4","11","1","0.317","0.31","0.47","0.0477","0.118","-7.834","0.0318","0.124"
"48","幻想水滸伝ティアクライス ORIGINAL SOUNDTRACK","それぞれの未来 ～108星その後BGM～","https://open.spotify.com/track/5RtocY9qIm390k81c5mgDA","2","23","0","316160","81.891","3","10","1","0.892","0.486","0.152","0.000137","0.134","-14.359","0.0279","0.283"
"49","幻想水滸伝ティアクライス ORIGINAL SOUNDTRACK","はじまりのテーマ ～名前入力画面BGM～","https://open.spotify.com/track/57TlAEXWylLeEIoejGYq10","3","1","9","150213","137.963","4","0","1","0.168","0.571","0.773","0.00684","0.164","-6.761","0.0297","0.68"
"50","幻想水滸伝ティアクライス ORIGINAL SOUNDTRACK","シトロの平和 ～ヤディマの農場BGM～","https://open.spotify.com/track/4839F9QZ0ciiL6a1YVAFJW","3","2","0","180893","155.965","3","2","1","0.59","0.528","0.51","0.866","0.189","-9.636","0.0286","0.757"
"51","幻想水滸伝ティアクライス ORIGINAL SOUNDTRACK","商人と交易と ～交易のテーマ～","https://open.spotify.com/track/0oBehsk6LLF4d6XX1IBPWZ","3","3","0","164320","105.114","3","9","1","0.591","0.283","0.717","0.481","0.291","-7.89","0.0317","0.797"
"52","幻想水滸伝ティアクライス ORIGINAL SOUNDTRACK","縁結びのモアナ ～クエストのテーマ～","https://open.spotify.com/track/0xGfzWPydDmcz31zGTHQRW","3","4","0","168507","117.995","4","0","1","0.212","0.769","0.674","0.434","0.462","-7.771","0.0307","0.821"
"53","幻想水滸伝ティアクライス ORIGINAL SOUNDTRACK","クエスト成功 ～クエスト達成BGM～","https://open.spotify.com/track/1ytOAiXtXnKhZTRTnO9Puh","3","5","0","50560","179.892","3","5","1","0.278","0.291","0.926","0.987","0.355","-7.726","0.0503","0.558"
"54","幻想水滸伝ティアクライス ORIGINAL SOUNDTRACK","クエスト失敗 ～クエスト失敗BGM～","https://open.spotify.com/track/7HbYAhSVTQBaJPkCKP9Uzj","3","6","0","46760","79.983","3","9","0","0.182","0.553","0.702","0.978","0.309","-8.706","0.0432","0.759"
"55","幻想水滸伝ティアクライス ORIGINAL SOUNDTRACK","作戦会議 ～作戦会議BGM～","https://open.spotify.com/track/29zs81rAqTfhx8YDEgwHU4","3","7","0","157667","109.984","4","3","1","0.63","0.701","0.428","0.936","0.157","-9.461","0.0301","0.734"
"56","幻想水滸伝ティアクライス ORIGINAL SOUNDTRACK","マルシナ平原 ～フィールドマップBGM～","https://open.spotify.com/track/1Qz0qFr8CiyU2vuHD9m6Tm","3","8","0","192293","119.949","3","9","0","0.367","0.566","0.586","0.919","0.136","-7.786","0.0294","0.407"
"57","幻想水滸伝ティアクライス ORIGINAL SOUNDTRACK","ロア族の激闘！ ～フューリーロア戦闘BGM～","https://open.spotify.com/track/0AUUhxiEnIttczD1AUoy2O","3","9","0","173800","75.014","4","0","1","0.3","0.393","0.938","0.791","0.211","-7.548","0.0474","0.582"
"58","幻想水滸伝ティアクライス ORIGINAL SOUNDTRACK","異世界の友の記憶 ～クーガの記憶BGM～","https://open.spotify.com/track/2KLtktplvs0XsCxj0Adbmh","3","10","0","212853","94.958","4","4","0","0.507","0.458","0.306","0.00242","0.0683","-10.273","0.0262","0.234"
"59","幻想水滸伝ティアクライス ORIGINAL SOUNDTRACK","悲痛なる記憶 ～一族の過去BGM～","https://open.spotify.com/track/0d1qlAnlKMG5rcfSPdZmrj","3","11","0","158480","158.665","4","10","0","0.868","0.103","0.246","0.584","0.0769","-12.277","0.0332","0.243"
"60","幻想水滸伝ティアクライス ORIGINAL SOUNDTRACK","砂漠のオアシス ～ジャナム砂漠オアシスBGM〜","https://open.spotify.com/track/0Wo3fbfDq8E1beh99U3S8E","3","12","0","222480","180.004","4","9","0","0.0101","0.243","0.413","0.615","0.228","-9.939","0.0319","0.15"
"61","幻想水滸伝ティアクライス ORIGINAL SOUNDTRACK","剣の姫 ～クロデキルドのテーマ～","https://open.spotify.com/track/797pjkbKgPTX772galMg0j","3","13","0","209947","133.93","4","5","0","0.512","0.419","0.469","0.987","0.211","-7.32","0.0309","0.698"
"62","幻想水滸伝ティアクライス ORIGINAL SOUNDTRACK","冥夜の姉妹の苦悩 ～冥夜の剣士哀しみのテーマ～","https://open.spotify.com/track/6JhQEkppdAjmGLk7pMzADY","3","14","0","159653","174.81","4","3","0","0.126","0.0784","0.282","0.924","0.0758","-8.675","0.0376","0.122"
"63","幻想水滸伝ティアクライス ORIGINAL SOUNDTRACK","双剣一対 ～姉妹一騎打ちのテーマ～","https://open.spotify.com/track/4tc1DYAl7YTiaeiqjaYUux","3","15","0","234787","130.073","4","9","0","0.453","0.313","0.614","0.00207","0.184","-7.004","0.0303","0.247"
"64","幻想水滸伝ティアクライス ORIGINAL SOUNDTRACK","ふたりの剣の姫 ～アストラシア王女のテーマ～","https://open.spotify.com/track/3K0JccamGl93DlmindHxxT","3","16","0","190747","75.939","4","0","1","0.942","0.311","0.26","0.884","0.326","-11.259","0.0326","0.176"
"65","幻想水滸伝ティアクライス ORIGINAL SOUNDTRACK","ポーパスの巫女 ～ネイラのテーマ～","https://open.spotify.com/track/0M0my0XCJ392GVqdKWgvzI","3","17","0","185667","96.951","4","6","1","0.719","0.364","0.41","0.892","0.169","-9.193","0.0267","0.0682"
"66","幻想水滸伝ティアクライス ORIGINAL SOUNDTRACK","ニヌルネダ様降臨！ ～憑依ネイラのテーマ～","https://open.spotify.com/track/2P9LhXZ7SwyPoXLZZyLJBp","3","18","0","125200","113.923","4","7","1","0.753","0.179","0.283","0.684","0.324","-10.49","0.0322","0.0378"
"67","幻想水滸伝ティアクライス ORIGINAL SOUNDTRACK","さすらいの""弦奏弓""使い ～ラミンのテーマ～","https://open.spotify.com/track/2CaQjOqpq1tmASaS26CuVY","3","19","0","170733","125.953","4","9","0","0.0453","0.607","0.727","0.0101","0.0681","-8.825","0.0295","0.94"
"68","幻想水滸伝ティアクライス ORIGINAL SOUNDTRACK","みなぎる怒りの力？ ～ラミン戦闘BGM～","https://open.spotify.com/track/2gTMkWX5kCLP7eUo7PrNuP","3","20","0","150800","149.901","4","4","1","0.309","0.514","0.828","0.909","0.353","-7.385","0.0305","0.844"
"69","幻想水滸伝ティアクライス ORIGINAL SOUNDTRACK","誇り高き岩山の巨人 ～リジッドフォークのテーマ～","https://open.spotify.com/track/1tJoGKhfyfRVokS1Ph17WB","3","21","0","182240","93.807","3","9","0","0.668","0.237","0.607","0.842","0.437","-11.039","0.0416","0.306"
"70","幻想水滸伝ティアクライス ORIGINAL SOUNDTRACK","巨人族激闘のテーマ ～リジッドフォーク戦闘BGM～","https://open.spotify.com/track/0kKoGF3pT4XhiPit4MCxSz","3","22","0","189067","125.203","3","2","1","0.29","0.216","0.943","0.808","0.265","-7.622","0.0619","0.309"
"71","幻想水滸伝ティアクライス ORIGINAL SOUNDTRACK","崩壊した街 ～崩壊の街BGM～","https://open.spotify.com/track/6z1ufWRKmxQPxhmOAfnL9E","3","23","0","174133","79.984","4","0","0","0.0104","0.466","0.477","2.76e-05","0.178","-11.198","0.029","0.302"
"72","幻想水滸伝ティアクライス ORIGINAL SOUNDTRACK","崩壊した塔 ～崩壊の塔ダンジョンBGM～","https://open.spotify.com/track/7zl3KhzaujrhnuFZnrY10q","3","24","0","239387","99.986","4","10","0","0.292","0.547","0.373","0.12","0.0964","-10.992","0.0274","0.607"
"73","幻想水滸伝ティアクライス ORIGINAL SOUNDTRACK","ひとつという名の王 ～一なる王の像BGM～","https://open.spotify.com/track/3FiZYcGfMtEalVmZqDY3fX","3","25","0","151947","109.988","3","0","0","0.00168","0.312","0.663","0.916","0.123","-7.683","0.0273","0.232"
"74","幻想水滸伝ティアクライス ORIGINAL SOUNDTRACK","未来を信じて！ ～ラストバトルBGM～","https://open.spotify.com/track/2mRGYgfjorLZnSRVBRF52u","3","26","0","175027","90.964","3","8","1","0.0621","0.499","0.917","0.0507","0.408","-5.181","0.0392","0.906"
