"アルバム名","曲名","URL","ディスク番号","曲番号","人気度","長さ","テンポ","拍子","キー","モード","アコースティック度","ダンス性","エネルギッシュさ","インスト度","ライブ感","音圧のデシベル値の平均","話し声度","ポジティブ度"
"幻想水滸伝 ORIGINAL GAME SOUNDTRACK","第4章「運命の導くままに」 ~プライド高き人々(ドワーフの村BGM)","https://open.spotify.com/track/4YPam66LL5ae9TSylGydOH","1","22","1","120133","106.873","3","4","1","0.0357","0.567","0.49","0.876","0.267","-10.646","0.0304","0.779"
"幻想水滸伝 ORIGINAL GAME SOUNDTRACK","第4章「運命の導くままに」 ~絶望のテーマ(イベント「エルフの村焼失」より)","https://open.spotify.com/track/4DM6owBBAMBXDecFjChbNp","1","23","0","10893","0.0","0","1","1","0.267","0.0","0.0461","0.862","0.214","-16.794","0.0","0.0"
"幻想水滸伝 ORIGINAL GAME SOUNDTRACK","第4章「運命の導くままに」 ~ひとときのやすらぎ(アンティBGM)","https://open.spotify.com/track/1z3bJDtNmp99CS0vWbnh6I","1","24","1","297973","196.298","3","2","1","0.661","0.449","0.45","0.937","0.223","-13.357","0.0379","0.498"
"幻想水滸伝 ORIGINAL GAME SOUNDTRACK","第4章「運命の導くままに」 ~潮騒(テイエンBGM)","https://open.spotify.com/track/1vQLgwV7n7fqlBhHsdd5XY","1","25","2","253027","82.52","4","2","1","0.899","0.326","0.376","0.881","0.414","-16.017","0.0648","0.136"
"幻想水滸伝 ORIGINAL GAME SOUNDTRACK","第4章「運命の導くままに」 ~ヘンテコなテーマ(イベント「フリック危うし!キンバリーの誘惑」より)","https://open.spotify.com/track/2ek9jIXH9kiMsUbasPIjNB","1","26","1","77307","79.998","4","0","1","0.00415","0.518","0.41","0.0609","0.0953","-12.691","0.055","0.36"
"幻想水滸伝 ORIGINAL GAME SOUNDTRACK","第4章「運命の導くままに」 ~彼女は村の宝(イベント「ミーナの踊り」より)","https://open.spotify.com/track/2SMMKEcY32PIC8h8Wsl5P3","1","27","0","35200","139.582","4","4","1","0.299","0.77","0.904","0.884","0.782","-12.512","0.504","0.962"
"幻想水滸伝 ORIGINAL GAME SOUNDTRACK","第4章「運命の導くままに」 ~ナルシーのテーマ(イベント「ヴァンサン、ミルイヒの踊り」より)","https://open.spotify.com/track/5xriXauqbbNMm6k0frsGfl","1","28","1","200867","152.31","3","6","1","0.744","0.572","0.384","0.901","0.0991","-10.039","0.0311","0.616"
"幻想水滸伝 ORIGINAL GAME SOUNDTRACK","第4章「運命の導くままに」 ~ゴージャス・スカーレティシア(スカーテレィシア城BGM)","https://open.spotify.com/track/3hqBy9mADURri4y8kQnE19","1","29","1","185493","82.205","3","6","1","0.136","0.405","0.399","0.922","0.356","-11.387","0.0315","0.244"
"幻想水滸伝 ORIGINAL GAME SOUNDTRACK","第4章「運命の導くままに」 ~踊る少女(キーロフBGM)","https://open.spotify.com/track/3qnwwcaCEtwFvJBHbpXntC","1","30","1","148307","84.819","4","0","1","0.272","0.309","0.454","0.327","0.475","-11.094","0.031","0.444"
"幻想水滸伝 ORIGINAL GAME SOUNDTRACK","第5章「戦争」 ~激突!(:戦争BGM1)","https://open.spotify.com/track/08KxtuULVwJUCscUctsNYk","2","1","1","123093","139.862","4","7","1","0.0549","0.41","0.511","0.92","0.37","-14.866","0.0467","0.316"
"幻想水滸伝 ORIGINAL GAME SOUNDTRACK","第5章「戦争」 ~勝利の予感(:戦争BGM2)","https://open.spotify.com/track/0ng4B1ciSkKkJb2uclbexj","2","2","1","146533","146.096","4","1","0","0.00391","0.372","0.379","0.186","0.363","-15.766","0.0421","0.165"
"幻想水滸伝 ORIGINAL GAME SOUNDTRACK","第5章「戦争」 ~一触即発(一騎打ちBGM)","https://open.spotify.com/track/4TK8FOgkPMvWBPH1w7aufE","2","3","1","101840","76.509","4","6","1","0.618","0.393","0.702","0.93","0.299","-16.944","0.135","0.191"
"幻想水滸伝 ORIGINAL GAME SOUNDTRACK","第5章「戦争」 ~悲しみのテーマ~ギター編(イベント「テオの死」より)","https://open.spotify.com/track/7sEFQaXw54usoMm2rCqlUU","2","4","1","96760","123.328","4","6","0","0.936","0.36","0.0828","0.885","0.113","-18.823","0.0374","0.0722"
"幻想水滸伝 ORIGINAL GAME SOUNDTRACK","第6章「解き明かされる謎」 ~静けさの中で(クロン寺院BGM)","https://open.spotify.com/track/4hutlibuFcZFWV0k6xxnlp","2","5","0","91973","74.521","4","2","1","0.0478","0.196","0.336","0.458","0.975","-18.122","0.149","0.179"
"幻想水滸伝 ORIGINAL GAME SOUNDTRACK","第6章「解き明かされる謎」 ~集いし戦士たち(戦士の村BGM)","https://open.spotify.com/track/3WX9tMrmr8KHKcyOS88quI","2","6","2","233667","149.235","3","9","1","0.0437","0.44","0.585","0.951","0.281","-13.065","0.0353","0.836"
"幻想水滸伝 ORIGINAL GAME SOUNDTRACK","第6章「解き明かされる謎」 ~緊迫のテーマ~インパクト編(イベント「ネルロード現る」より)","https://open.spotify.com/track/03ZcAlJt1kdzxJ1MDzJ2Ik","2","7","0","95560","82.034","4","0","1","0.745","0.447","0.0436","0.353","0.406","-18.855","0.0267","0.0398"
"幻想水滸伝 ORIGINAL GAME SOUNDTRACK","第6章「解き明かされる謎」 ~ここだけの話(イベント「ゾラックの長話」より)","https://open.spotify.com/track/17uwy90TOxGoDsePy0pHV7","2","8","0","118600","57.407","3","3","1","0.84","0.0623","0.0403","0.893","0.182","-21.018","0.0454","0.039"
"幻想水滸伝 ORIGINAL GAME SOUNDTRACK","第6章「解き明かされる謎」 ~失われた日々(隠された紋章の村BGM)","https://open.spotify.com/track/4NbfdMnx8VKptrQVUcTzTn","2","9","6","198440","94.04","4","11","0","0.561","0.546","0.247","0.411","0.118","-15.165","0.0394","0.159"
"幻想水滸伝 ORIGINAL GAME SOUNDTRACK","第6章「解き明かされる謎」 ~パッサカリア(ネクロードの屋敷BGM)","https://open.spotify.com/track/7eraKwoHjBilKUkdJgrspU","2","10","1","239400","132.263","4","0","0","0.159","0.261","0.255","0.859","0.103","-11.605","0.0363","0.145"
"幻想水滸伝 ORIGINAL GAME SOUNDTRACK","第6章「解き明かされる謎」 ~メインテーマ~アンサンブル編(イベント「ヒックスザヒーロー」より)","https://open.spotify.com/track/6FAEn6UYYwvGJVWve4J28W","2","11","1","122467","83.161","4","9","1","0.0453","0.374","0.329","0.748","0.369","-12.736","0.0284","0.206"
"幻想水滸伝 ORIGINAL GAME SOUNDTRACK","第6章「解き明かされる謎」 ~水のほとりの砦(解放軍本拠地BGM1)","https://open.spotify.com/track/3Z6LJk5z053wVKD4z8P0Yd","2","12","2","122893","125.076","5","2","1","0.658","0.647","0.417","0.977","0.223","-11.617","0.0431","0.592"
"幻想水滸伝 ORIGINAL GAME SOUNDTRACK","第6章「解き明かされる謎」 ~栄えし水のほとりの砦(解放軍本拠地BGM2)","https://open.spotify.com/track/06USPesvqPQVTQjSDFFp1z","2","13","3","150667","113.184","3","10","0","0.0333","0.586","0.492","0.831","0.0915","-11.098","0.0394","0.77"
"幻想水滸伝 ORIGINAL GAME SOUNDTRACK","第6章「解き明かされる謎」 ~蒼い海、青い空(フィールドBGM2)","https://open.spotify.com/track/0Xwy1L6g8MmXVZQE1lO0wv","2","14","1","132267","114.737","4","5","0","0.602","0.383","0.511","0.935","0.182","-12.237","0.0356","0.406"
"幻想水滸伝 ORIGINAL GAME SOUNDTRACK","第6章「解き明かされる謎」 ~An Old Irish Song(竜騎士の砦BGM)","https://open.spotify.com/track/1s4y0GOcvAtEzfRpG40fQq","2","15","1","203600","125.344","3","3","1","0.171","0.463","0.308","0.886","0.243","-13.465","0.0405","0.295"
"幻想水滸伝 ORIGINAL GAME SOUNDTRACK","第6章「解き明かされる謎」 ~Gate(モラビア城・関所BGM)","https://open.spotify.com/track/2DUvuPT2aDEuALjs9SN1qb","2","16","0","85173","164.034","4","1","0","0.287","0.778","0.172","0.856","0.0729","-19.488","0.0382","0.498"
"幻想水滸伝 ORIGINAL GAME SOUNDTRACK","第7章「最後の戦い」 ~月夜のテーマ(イベント「決戦前夜」より )","https://open.spotify.com/track/6J3Kop4FEcQ5uwbWnxiDnG","2","17","1","219467","80.556","4","10","1","0.506","0.277","0.188","1.07e-05","0.174","-14.011","0.0293","0.061"
"幻想水滸伝 ORIGINAL GAME SOUNDTRACK","第7章「最後の戦い」 ~出陣のテーマ(戦争BGM3)","https://open.spotify.com/track/7dOzmMCVxajL1nLcOAmnEV","2","18","2","185600","103.04","3","4","0","0.451","0.577","0.426","0.858","0.145","-13.141","0.034","0.377"
"幻想水滸伝 ORIGINAL GAME SOUNDTRACK","第7章「最後の戦い」 ~諸行無常の響き(荒廃したグレッグミンスターBGM)","https://open.spotify.com/track/3iDpoR4IAzLkiTfgmDHgLE","2","19","0","60800","66.631","3","8","1","0.623","0.133","0.761","0.987","0.116","-24.281","0.0393","0.0273"
"幻想水滸伝 ORIGINAL GAME SOUNDTRACK","第7章「最後の戦い」 ~最強の敵(ボス敵BGM)","https://open.spotify.com/track/4A4qxXQZwv2rUl7lmkl4Lw","2","20","1","142893","119.035","3","1","1","0.0113","0.335","0.436","0.127","0.262","-16.57","0.084","0.342"
"幻想水滸伝 ORIGINAL GAME SOUNDTRACK","第7章「最後の戦い」 ~緊迫のテーマ~Tama-dator(イベント「脱出」より)","https://open.spotify.com/track/77alH5SzyqJXMYfJtVbwKi","2","21","0","134173","113.655","3","0","1","0.198","0.522","0.473","0.918","0.134","-16.387","0.0517","0.148"
"幻想水滸伝 ORIGINAL GAME SOUNDTRACK","第7章「最後の戦い」 ~REQUIEM(エンディングBGM)","https://open.spotify.com/track/1WVh2pAYSyKYxqbAtdqIMx","2","22","1","112627","66.613","4","8","1","0.578","0.208","0.184","0.955","0.112","-16.078","0.0341","0.0597"
"幻想水滸伝 ORIGINAL GAME SOUNDTRACK","第7章「最後の戦い」 ~Avetuneiro Antes Lance Mao~戦いは終わった~(エンディング)","https://open.spotify.com/track/0JhJKWBZ9bCW9FF1oB8iRu","2","23","2","235533","95.246","4","0","1","0.323","0.281","0.177","0.152","0.08","-18.078","0.033","0.0526"
"幻想水滸伝 ORIGINAL GAME SOUNDTRACK","お風呂トロピカル~FURO-mix(風呂BGM3)","https://open.spotify.com/track/6qyRsaV0IrnuceRmiCUaRX","2","24","1","160040","112.964","3","3","1","0.391","0.54","0.545","0.747","0.751","-12.915","0.0409","0.621"
"幻想水滸伝 ORIGINAL GAME SOUNDTRACK","呪いのお風呂「長湯は禁物」(風呂BGM4)","https://open.spotify.com/track/3JZNdDxRmE89YD3JdVPPjQ","2","25","0","30293","106.83","5","1","1","0.937","0.291","0.034","0.984","0.144","-24.499","0.0447","0.0"
"幻想水滸伝 ORIGINAL GAME SOUNDTRACK","無念のテーマ(プレイヤー全滅BGM)","https://open.spotify.com/track/6IEHneMccODZHHMME91C0e","2","26","0","14600","0.0","0","6","0","0.367","0.0","0.043","0.876","0.267","-16.983","0.0","0.0"
"幻想水滸伝 ORIGINAL GAME SOUNDTRACK","がっくり(ジングル1)","https://open.spotify.com/track/2cQQSbWRnke0nA8PSEf3Q5","2","27","0","5667","0.0","0","0","1","0.0","0.0","0.00101","0.0","0.0","-15.138","0.0","0.0"
"幻想水滸伝 ORIGINAL GAME SOUNDTRACK","ファンファーレ(ジングル2)","https://open.spotify.com/track/0aXmpYUKQClDlhhvJhUrkE","2","28","0","7800","0.0","0","4","1","0.0","0.0","0.000264","0.0","0.0","-12.532","0.0","0.0"
"幻想水滸伝II ORIGINAL GAME SOUNDTRACK Vol.1","プロローグ ~オープニングBGM(序章・戦い・哀しみ・幻想水滸伝IIのテーマ)","https://open.spotify.com/track/6lMhpfb2JbJL7Xjemn5ER9","1","1","10","157360","139.817","4","10","1","0.792","0.217","0.298","0.441","0.0698","-10.451","0.0346","0.126"
"幻想水滸伝II ORIGINAL GAME SOUNDTRACK Vol.1","プロローグ ~名前入力画面BGM","https://open.spotify.com/track/79AdjWgkgMnwbSiArpBj4g","1","2","4","275640","139.871","4","0","1","0.335","0.387","0.567","0.261","0.0859","-8.295","0.0307","0.267"
"幻想水滸伝II ORIGINAL GAME SOUNDTRACK Vol.1","第1章「始まり」 ~敵襲(イベント「敵襲」より)","https://open.spotify.com/track/44cY8BHyP2BlJfwzo6Hp9L","1","3","3","169560","174.247","4","7","0","0.695","0.52","0.874","0.879","0.346","-7.431","0.0431","0.0997"
"幻想水滸伝II ORIGINAL GAME SOUNDTRACK Vol.1","第1章「始まり」 ~疑惑(イベント「敵襲」より)","https://open.spotify.com/track/2m7ea981AHpzlrwwMkuq6T","1","4","4","138840","130.8","5","2","1","0.329","0.943","0.609","0.624","0.0747","-7.556","0.0325","0.677"
"幻想水滸伝II ORIGINAL GAME SOUNDTRACK Vol.1","第1章「始まり」 ~勝利への意欲(通常戦闘BGM)","https://open.spotify.com/track/02TFmpkkH3BBcjAgtNgDQq","1","5","6","148200","160.188","4","8","1","0.252","0.462","0.669","0.94","0.593","-7.625","0.0373","0.491"
"幻想水滸伝II ORIGINAL GAME SOUNDTRACK Vol.1","第1章「始まり」 ~結果(戦闘勝利BGM)","https://open.spotify.com/track/40uoPscX2Y98JEagkwsrUR","1","6","3","39760","137.605","4","0","1","0.666","0.754","0.834","0.987","0.129","-10.812","0.0578","0.999"
"幻想水滸伝II ORIGINAL GAME SOUNDTRACK Vol.1","第1章「始まり」 ~回想(オープニングスタッフロールBGM)","https://open.spotify.com/track/2ZConNMwnBOu2ltDIZG7Mh","1","7","18","112573","66.389","5","10","0","0.979","0.261","0.118","0.939","0.104","-15.53","0.0326","0.176"
"幻想水滸伝II ORIGINAL GAME SOUNDTRACK Vol.1","第2章「砦からの脱出」 ~働かざる者食うべからず(ビクトールの砦BGM)","https://open.spotify.com/track/7atR0Pr7klqKyhE8oHQ7Ak","1","8","5","125560","117.263","4","7","1","0.034","0.905","0.476","0.428","0.102","-9.787","0.0531","0.881"
"幻想水滸伝II ORIGINAL GAME SOUNDTRACK Vol.1","第2章「砦からの脱出」 ~最初のお仕事(イベント「ビクトールの砦」より)","https://open.spotify.com/track/63m9dYeOrthhD5cFNY3VTk","1","9","3","147000","112.813","4","2","0","0.404","0.883","0.563","0.109","0.132","-7.051","0.0691","0.94"
"幻想水滸伝II ORIGINAL GAME SOUNDTRACK Vol.1","第2章「砦からの脱出」 ~次なるお仕事(イベント「ビクトールの砦」より)","https://open.spotify.com/track/6TK5hpcmuqncZBLBhnXLuz","1","10","3","98107","124.095","4","7","1","0.701","0.848","0.443","0.863","0.125","-5.823","0.0967","0.524"
"幻想水滸伝II ORIGINAL GAME SOUNDTRACK Vol.1","第2章「砦からの脱出」 ~ニンジン、食べるかい?(イベント「脱出」より)","https://open.spotify.com/track/2lVNKGf30bbOO7vMOG3GPO","1","11","3","160560","146.493","5","10","1","0.142","0.37","0.299","0.358","0.114","-9.339","0.0801","0.435"
"幻想水滸伝II ORIGINAL GAME SOUNDTRACK Vol.1","第2章「砦からの脱出」 ~逃亡(イベント「脱出」より)","https://open.spotify.com/track/3s95YXa6LoymiiP4AmhgX1","1","12","2","85840","115.094","3","2","1","0.00594","0.812","0.921","0.951","0.0419","-16.931","0.107","0.543"
"幻想水滸伝II ORIGINAL GAME SOUNDTRACK Vol.1","第3章「旅の一座との出会い」 ~平和山村人暮鳥声(リューベBGM)","https://open.spotify.com/track/7srDJVcHwtZxJaADHRbHWc","1","13","3","143293","135.256","4","2","0","0.974","0.53","0.216","0.859","0.0728","-8.649","0.0308","0.662"
"幻想水滸伝II ORIGINAL GAME SOUNDTRACK Vol.1","第3章「旅の一座との出会い」 ~大道芸(イベント「ジプシーたち」より)","https://open.spotify.com/track/1Zqyzg4LwXVh2dXrgKL4Jv","1","14","3","183133","110.582","4","2","1","0.0042","0.649","0.654","0.132","0.109","-7.507","0.0421","0.664"
"幻想水滸伝II ORIGINAL GAME SOUNDTRACK Vol.1","第3章「旅の一座との出会い」 ~冒険の旅(ワールドマップBGM1)","https://open.spotify.com/track/3aflCtKcWfry52H5bqmPLe","1","15","4","160933","155.54","5","3","1","0.789","0.601","0.327","0.589","0.237","-10.711","0.0366","0.824"
"幻想水滸伝II ORIGINAL GAME SOUNDTRACK Vol.1","第3章「旅の一座との出会い」 ~迷宮~PENPE2(ダンジョンBGM)","https://open.spotify.com/track/0S1aH2MpgPit1QLYu1GDKo","1","16","3","232173","172.627","3","5","1","0.79","0.331","0.38","0.86","0.105","-17.199","0.0386","0.065"
"幻想水滸伝II ORIGINAL GAME SOUNDTRACK Vol.1","第3章「旅の一座との出会い」 ~強敵出現(中ボスBGM)","https://open.spotify.com/track/7HhhimzHfrya25MLrQ7C0j","1","17","4","134560","164.624","1","1","1","0.861","0.8","0.888","0.847","0.352","-11.482","0.0678","0.574"
"幻想水滸伝II ORIGINAL GAME SOUNDTRACK Vol.1","第4章「故郷へ」 ~郷愁(キャロBGM)","https://open.spotify.com/track/47E6ITmPp5GiZJojHmvqvm","1","18","4","192667","139.762","3","4","1","0.862","0.577","0.258","0.733","0.134","-10.604","0.0328","0.398"
"幻想水滸伝II ORIGINAL GAME SOUNDTRACK Vol.1","第4章「故郷へ」 ~Beautiful Morning(朝BGM)","https://open.spotify.com/track/4grsnJOMVwrrcbKUACuLWs","1","19","4","178640","72.874","4","2","1","0.857","0.283","0.325","0.977","0.13","-9.931","0.0301","0.29"
"幻想水滸伝II ORIGINAL GAME SOUNDTRACK Vol.1","第4章「故郷へ」 ~王者の行進(イベント「刑場へ」より)","https://open.spotify.com/track/1XEnJOxj3JJcSY8PreODkB","1","20","2","193360","96.792","4","1","1","0.115","0.574","0.738","0.836","0.12","-11.039","0.0434","0.278"
"幻想水滸伝II ORIGINAL GAME SOUNDTRACK Vol.1","第4章「故郷へ」 ~救出(イベント「フリックたちの登場」より)","https://open.spotify.com/track/6DPtgSyhZbVd8GRuE6vtLS","1","21","3","138173","146.259","4","1","1","0.369","0.551","0.745","0.911","0.61","-6.373","0.0329","0.761"
"幻想水滸伝II ORIGINAL GAME SOUNDTRACK Vol.1","第4章「故郷へ」 ~回想~ストリングスバージョン~(イベント「別れ」より)","https://open.spotify.com/track/7y8Hna1yjLtUZMySFvckef","1","22","5","154560","79.289","3","5","0","0.482","0.0745","0.34","0.914","0.0791","-8.834","0.0367","0.0384"
"幻想水滸伝II ORIGINAL GAME SOUNDTRACK Vol.1","第5章「狂皇子ルカ ブライト」 ~子供たちは野に遊び(トトBGM)","https://open.spotify.com/track/7tvuA2rumNDU6lo36en2wR","1","23","3","217640","126.376","4","2","0","0.806","0.589","0.403","0.0116","0.177","-7.143","0.0362","0.0997"
"幻想水滸伝II ORIGINAL GAME SOUNDTRACK Vol.1","第5章「狂皇子ルカ ブライト」 ~虐殺(イベント「リューベの村襲撃」より)","https://open.spotify.com/track/5sfVqfiCADKUlwn5iBrm5K","1","24","0","17093","58.794","4","6","1","0.023","0.364","0.597","0.947","0.343","-19.449","0.117","0.483"
"幻想水滸伝II ORIGINAL GAME SOUNDTRACK Vol.1","第5章「狂皇子ルカ ブライト」 ~緊迫(イベント「ルカの凶行」より)","https://open.spotify.com/track/6nYoki6uMJTHoRunKKp8On","1","25","3","104200","219.642","3","11","1","0.798","0.686","0.651","0.907","0.086","-9.365","0.0827","0.683"
"幻想水滸伝II ORIGINAL GAME SOUNDTRACK Vol.1","第5章「狂皇子ルカ ブライト」 ~戦争(戦争BGM)","https://open.spotify.com/track/5YP3cW1HkfnxsMwVAfimkm","1","26","3","51333","143.356","4","2","0","0.174","0.201","0.527","2.41e-06","0.356","-8.901","0.0356","0.302"
"幻想水滸伝II ORIGINAL GAME SOUNDTRACK Vol.1","第5章「狂皇子ルカ ブライト」 ~崩壊(イベント「燃える砦」より)","https://open.spotify.com/track/69ka4kpEZdKSwt4crTeKhU","1","27","0","18600","109.648","1","10","0","0.00825","0.321","0.367","0.982","0.202","-26.127","0.112","0.271"
"幻想水滸伝II ORIGINAL GAME SOUNDTRACK Vol.1","第6章「少年たちの儀式」 ~彼方の星(レックナートのテーマ)","https://open.spotify.com/track/6Wb0RG7Er1D3m7QaTPFZXg","1","28","3","131133","72.056","4","2","1","0.907","0.123","0.43","0.849","0.625","-9.221","0.0323","0.0396"
"幻想水滸伝II ORIGINAL GAME SOUNDTRACK Vol.1","第6章「少年たちの儀式」 ~過ぎた日々(イベント「少年たちの儀式」より)","https://open.spotify.com/track/6koGlnnjIQvvORsqPok0UO","1","29","3","293400","76.302","3","9","1","0.971","0.227","0.108","0.953","0.109","-13.647","0.0368","0.25"
"幻想水滸伝II ORIGINAL GAME SOUNDTRACK Vol.1","第7章「ミューズへ」 ~静けさの中に(白鹿亭BGM)","https://open.spotify.com/track/50Mixk2ScE8fRv4E3TY2Aa","2","1","3","188933","130.886","4","2","1","0.607","0.694","0.298","0.000383","0.146","-8.41","0.0371","0.558"
"幻想水滸伝II ORIGINAL GAME SOUNDTRACK Vol.1","第7章「ミューズへ」 ~あの丘に登ろう(ミューズBGM)","https://open.spotify.com/track/7GPAtp3ubVjcr0Fc6IGERe","2","2","3","231467","101.352","4","0","1","0.315","0.831","0.415","0.947","0.0928","-7.244","0.0431","0.119"
